fam;code;od
U1000 R2V;1x1,5;6.4
U1000 R2V;1x2,5;6.8
U1000 R2V;1x4;7.2
U1000 R2V;1x6;8.2
U1000 R2V;1x10;9.2
U1000 R2V;1x16;10.5
U1000 R2V;1x25;12.5
U1000 R2V;1x35;13.5
U1000 R2V;1x50;15
U1000 R2V;1x70;17
U1000 R2V;1x95;19
U1000 R2V;1x120;21
U1000 R2V;1x150;23
U1000 R2V;1x185;25.5
U1000 R2V;1x240;28.5
U1000 R2V;1x300;31
U1000 R2V;1x400;34.5
U1000 R2V;1x500;38.5
U1000 R2V;1x630;43
U1000 R2V;2x1,5;10.5
U1000 R2V;2x2,5;11.5
U1000 R2V;2x4;13
U1000 R2V;2x6;14
U1000 R2V;2x10;16
U1000 R2V;2x16;18.5
U1000 R2V;2x25;22
U1000 R2V;2x35;24.5
U1000 R2V;2x50;28.5
U1000 R2V;3x1,5;11
U1000 R2V;3x2,5;12.5
U1000 R2V;3x4;13.5
U1000 R2V;3x6;15
U1000 R2V;3x10;17
U1000 R2V;3x16;16.5
U1000 R2V;3x25;23.5
U1000 R2V;3x35;26
U1000 R2V;3x50;29
U1000 R2V;3x70;34
U1000 R2V;3x95;38.5
U1000 R2V;3x120;42.5
U1000 R2V;3x150;47.5
U1000 R2V;3x185;53
U1000 R2V;3x240;59.5
U1000 R2V;3x300;66
U1000 R2V;3x50+35;31.1
U1000 R2V;3x70+35;36.2
U1000 R2V;3x70+50;36.2
U1000 R2V;3x95+50;40.6
U1000 R2V;3x120+70;45.4
U1000 R2V;3x150+70;49.5
U1000 R2V;3x185+70;54.4
U1000 R2V;3x240+95;61.5
U1000 R2V;4x1,5;12
U1000 R2V;4x2,5;13
U1000 R2V;4x4;14.5
U1000 R2V;4x6;16
U1000 R2V;4x10;18.5
U1000 R2V;4x16;21
U1000 R2V;4x25;25.5
U1000 R2V;4x35;28.5
U1000 R2V;4x50;32.5
U1000 R2V;4x70;37.5
U1000 R2V;4x95;42.5
U1000 R2V;4x120;47.5
U1000 R2V;4x150;52.5
U1000 R2V;4x185;59
U1000 R2V;4x240;66.5
U1000 R2V;4x300;73.5
U1000 R2V;5x1,5;13
U1000 R2V;5x2,5;14.5
U1000 R2V;5x4;16
U1000 R2V;5x6;17.5
U1000 R2V;5x10;20
U1000 R2V;5x16;23
U1000 R2V;5x25;28
U1000 R2V;5x35;34
U1000 R2V;5x50;36
U1000 R2V;5x70;43
U1000 R2V;5x95;47
U1000 R2V;7 G 1.5;13.5
U1000 R2V;7 G 2.5;15
U1000 R2V;12 G 1.5;17
U1000 R2V;12 G 2.5;19.5
U1000 R2V;19 G 1.5;19.5
U1000 R2V;19 G 2.5;22.5
U1000 R2V;27 G 1.5;23.5
U1000 R2V;37 G 1.5;25.5
U1000 R2V;37 G 2.5;29.5
U1000 AR2V;1x25;12.5
U1000 AR2V;1x35;13.5
U1000 AR2V;1x50;15
U1000 AR2V;1x70;17
U1000 AR2V;1x95;19
U1000 AR2V;1x120;21
U1000 AR2V;1x150;23
U1000 AR2V;1x185;25.5
U1000 AR2V;1x240;28.5
U1000 AR2V;1x300;31
U1000 AR2V;1x400;34.5
U1000 AR2V;1x500;38.5
U1000 AR2V;1x630;43
U1000 AR2V;1x1000;52
U1000 AR2V;2x25;22
U1000 AR2V;2x35;24.5
U1000 AR2V;2x50;27.5
U1000 AR2V;3x16;19.5
U1000 AR2V;3x25;23.5
U1000 AR2V;3x35;26
U1000 AR2V;3x50;29
U1000 AR2V;3x70;34
U1000 AR2V;3x95;38.5
U1000 AR2V;3x120;42.5
U1000 AR2V;3x150;47.5
U1000 AR2V;3x185;53
U1000 AR2V;3x240;59.5
U1000 AR2V;3x300;66
U1000 AR2V;3x400;73.1
U1000 AR2V;4x16;19.4
U1000 AR2V;4x25;25.5
U1000 AR2V;4x35;28.5
U1000 AR2V;4x50;32.5
U1000 AR2V;4x70;37.5
U1000 AR2V;4x95;42.5
U1000 AR2V;4x120;47.5
U1000 AR2V;4x150;52.5
U1000 AR2V;4x185;59
U1000 AR2V;4x240;66.5
U1000 AR2V;5x16;23
U1000 AR2V;5x25;28
U1000 AR2V;5x35;32.5
U1000 AR2V;5x50;37
U1000 AR2V;5x70;42.1
CR1;1x6;8.5
CR1;1x10;9.4
CR1;1x16;10.5
CR1;1x25;12.4
CR1;1x35;13.7
CR1;1x50;14.8
CR1;1x70;17.4
CR1;1x95;19.1
CR1;1x120;20.7
CR1;1x150;22.5
CR1;1x185;25
CR1;1x240;28
CR1;1x300;31
CR1;2x1.5;8.2
CR1;2x2.5;9.7
CR1;2x4;11.4
CR1;2x6;13.6
CR1;2x10;17.1
CR1;2x16;19.3
CR1;2x25;22.5
CR1;2x35;25
CR1;3x1.5;8.2
CR1;3x2.5;10.2
CR1;3x4;12
CR1;3x6;14.6
CR1;3x10;18
CR1;3x16;20.3
CR1;3x25;24.5
CR1;3x35;26.8
CR1;3x50;29.8
CR1;3x70;34
CR1;3x95;39
CR1;3x120;42.5
CR1;3x150;47
CR1;4x1.5;9.7
CR1;4x2.5;12.4
CR1;4x4;14.8
CR1;4x6;16
CR1;4x10;19.5
CR1;4x16;22.5
CR1;4x25;27
CR1;4x35;30
CR1;4x50;33
CR1;4x70;38
CR1;4x95;44
CR1;4x120;47
CR1;4x150;51
CR1;5x1.5;11.2
CR1;5x2.5;13.5
CR1;5x4;16.5
CR1;5x6;18
CR1;5x10;21.1
CR1;5x16;24.5
CR1;5x25;30
CR1;5x35;33
CR1;5x50;36.5
CR1;5x70;42
CR1;5x95;40
H07RN-F;1x1.5;7.1
H07RN-F;1x2.5;7.9
H07RN-F;1x4;9
H07RN-F;1x6;9.8
H07RN-F;1x10;11.9
H07RN-F;1x16;13.4
H07RN-F;1x25;15.8
H07RN-F;1x35;17.9
H07RN-F;1x50;20.6
H07RN-F;1x70;23.3
H07RN-F;1x95;26
H07RN-F;1x120;28.6
H07RN-F;1x150;31.4
H07RN-F;1x185;34.4
H07RN-F;1x240;38.3
H07RN-F;1x300;41.9
H07RN-F;1x400;46.8
H07RN-F;1x500;52
H07RN-F;2x1;10
H07RN-F;2x1.5;11
H07RN-F;2x2.5;13,2
H07RN-F;2x4;15,1
H07RN-F;2x6;16,8
H07RN-F;2x10;22,6
H07RN-F;2x16;25,7
H07RN-F;2x25;30,7
H07RN-F;3G1;10,7
H07RN-F;3G1.5;11.9
H07RN-F;3G2.5;14
H07RN-F;3G4;16.2
H07RN-F;3G6;18
H07RN-F;3G10;24.2
H07RN-F;3G16;27.6
H07RN-F;3G25;33
H07RN-F;3G35;37.1
H07RN-F;3G50;42.9
H07RN-F;3G70;48.3
H07RN-F;3G95;54
H07RN-F;3G120;60
H07RN-F;3G150;66
H07RN-F;3G185;72
H07RN-F;4G1;12
H07RN-F;4G1.5;13,1
H07RN-F;4G2.5;15,5
H07RN-F;4G4;18
H07RN-F;4G6;20
H07RN-F;4G10;26.5
H07RN-F;4G16;30.1
H07RN-F;4G25;36.6
H07RN-F;4G35;41.1
H07RN-F;4G50;47,5
H07RN-F;4G70;54
H07RN-F;4G95;61
H07RN-F;4G120;66
H07RN-F;4G150;73
H07RN-F;4G185;80
H07RN-F;4G240;91
H07RN-F;5G1;14
H07RN-F;5G1.5;14,4
H07RN-F;5G2.5;17
H07RN-F;5G4;19,9
H07RN-F;5G6;22,2
H07RN-F;5G10;29,1
H07RN-F;5G16;33,3
H07RN-F;5G25;40,4
H07RN-F;5G35;45,1
H07RN-F;5G50;53
H07RN-F;5G70;60
H07RN-F;5G95;67
H07RN-F;5G120;74
H07RN-F;5G150;83
H07RN-F;6G1.5;17,2
H07RN-F;6G2.5;20
H07RN-F;7G1.5;18,7
H07RN-F;7G2.5;21,8
H07RN-F;7G4;25,8
H07RN-F;7G6;28
H07RN-F;8G1.5;20
H07RN-F;8G2.5;23,7
H07RN-F;10G1.5;22,4
H07RN-F;10G2.5;25,7
H07RN-F;12G1.5;22,14
H07RN-F;12G2.5;26,2
H07RN-F;12G4;34,5
H07RN-F;16G1.5;24,9
H07RN-F;16G2.5;29,3
H07RN-F;18G1.5;26,3
H07RN-F;18G2.5;30,9
H07RN-F;19G1.5;26,5
H07RN-F;19G2.5;31,1
H07RN-F;19G4;38,5
H07RN-F;24G1.5;30,7
H07RN-F;24G2.5;36,4
H07RN-F;27G1.5;24,9
H07RN-F;27G2.5;37,3
