nom,largeur,hauteur
L1T Long-pan,520,540
L1T Pignon,380,540
L2T Long-pan,1160,540
L2T Pignon,380,540
L3T Long-pan,1380,540
L3T Pignon,520,540
1/2 L4T Long-pan,880,540
1/2 L4T Pignon,520,540
L4T Long-pan,1670,540
L4T Pignon,520,540
L5T Long-pan,1790,1140
L5T Pignon,880,1140
L6T Long-pan,2420,1140
L6T Pignon,880,1140
L1C Long-pan,520,460
L1C Pignon,380,460
L2C Long-pan,1160,460
L2C Pignon,380,460
L3C Long-pan,1380,460
L3C Pignon,520,460
K1C,750,610
K2C Long-pan,1500,610
K2C Pignon,750,610
K3C Long-pan,2250,610
K3C Pignon,750,610
